Timestamp,Sex:,Household Monthly Income (Php):,"Based on the Myers–Briggs Type Indicator (MBTI) test, what is your personality type? ",Would you like your future college program to be related to your current track/strand?,Which track/strand are you part of?,In which specialized subject do you have the highest grade?,In which specialized subject do you have the highest grade?,In which specialized subject do you have the highest grade?,What is your specialization/strand?,In which core subject do you have the highest grade?,[Primary Skill],[Secondary Skill],Select 1 thing you'd enjoy doing the most,Select 1 thing you'd enjoy doing the most,Select 1 thing you'd enjoy doing the most,Select 1 thing you'd enjoy doing the most,"Which university are you planning to attend for college? (If college student, please enter your current university)","What college program are you considering to take? (If college student, please enter your current program)"
9/29/2024 21:09:02,Male,"Less than 9,100 to 18,200","ENFJ (Charismatic, inspiring, and empathetic. They are natural leaders who motivate and guide others toward a common goal.)",Yes,STEM,,Research/Capstone Project,,,,"Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Drawing and creating digital designs,Solving math problems,Analyzing financial data,Reading/Writing content,University of the Philippines ,BS in Mechanical Engineering
9/29/2024 21:09:02,Male,"Less than 9,100 to 18,200","ENFJ (Charismatic, inspiring, and empathetic. They are natural leaders who motivate and guide others toward a common goal.)",Yes,STEM,,Calculus,,,,"Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Drawing and creating digital designs,Solving math problems,Analyzing financial data,Reading/Writing content,Rizal Technological University,BS in Electronics Engineering
9/29/2024 21:09:02,Male,"Less than 9,100 to 18,200","ENFJ (Charismatic, inspiring, and empathetic. They are natural leaders who motivate and guide others toward a common goal.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Practical and Hands-On Skills (e.g., mechanical tasks, crafts, use of tools or equipments)",Drawing and creating digital designs,Solving math problems,Analyzing financial data,Reading/Writing content,Rizal Technological University,BS in Electronics Engineering
9/29/2024 21:13:55,Female,"Less than 9,100 to 18,200","ENFJ (Charismatic, inspiring, and empathetic. They are natural leaders who motivate and guide others toward a common goal.)",Yes,HUMSS,,,Disciplines and Ideas in the Social Sciences,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)",Talking/Presenting in front of people,Interacting with people,Performing on stage,Dealing with human behavior,Rizal Technological University,AB in Psychology
9/29/2024 21:13:55,Female,"Less than 9,100 to 18,200","ENFJ (Charismatic, inspiring, and empathetic. They are natural leaders who motivate and guide others toward a common goal.)",Yes,STEM,,Research/Capstone Project,,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)",Talking/Presenting in front of people,Taking care of others,Helping others learn,Dealing with human behavior,NYU,AB in Psychology
10/23/2024 21:10:57,Female,"Less than 9,100 to 18,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",Yes,TVL Track,,,,ICT/CSS,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Learning things about technology,Solving math problems,Programming,Reading/Writing content,My plan when I become a college student i want to FEU but i have a financial problem that's why my choices is RTU or PLP ,BS in Information Technology
10/27/2024 10:46:00,Female,"18,200 to 109,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",No,,,,,,Media and Information Literacy,"Creative Skills (e.g., arts and design, writing and story telling, multimedia)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Drawing and creating digital designs,Editing videos,Dealing with designs of buildings/infrastructures,Reading/Writing content,PUP,AB in Multimedia Arts
10/27/2024 10:46:00,Female,"18,200 to 109,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",No,,,,,,Media and Information Literacy,"Creative Skills (e.g., arts and design, writing and story telling, multimedia)","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Drawing and creating digital designs,Editing videos,Dealing with designs of buildings/infrastructures,Reading/Writing content,PUP,AB in Multimedia Arts
10/27/2024 10:47:20,Male,"18,200 to 109,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",Yes,TVL Track,,,,ICT/CSS,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)",Drawing and creating digital designs,Editing videos,Analyzing financial data,Studying political systems,Pup,AB in Multimedia Arts
10/27/2024 13:15:10,Female,"Less than 9,100 to 18,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",Yes,HUMSS,,,"Trends, Networks and Critical Thinking in the 21st Century Culture",,,"Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Studying political systems,Rizal Technological University,AB in Political Science
9/13/2024 15:53:17,Male,"Less than 9,100 to 18,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",No,,,,,,Media and Information Literacy,"Creative Skills (e.g., arts and design, writing and story telling, multimedia)","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)", Drawing and creating digital designs,Editing videos,Dealing with designs of buildings/infrastructures,Traveling,STI COLLEGE ORCA,AB in Multimedia Arts
9/13/2024 15:53:17,Female,"Less than 9,100 to 18,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",Yes,HUMSS,,,Disciplines and Ideas in the Social Sciences,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Talking/Presenting in front of people,Organizing large-scale events,Performing on stage, Studying political systems    ,RTU,AB in Political Science
9/28/2024 19:34:31,Female,"Less than 9,100 to 18,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",Yes,HUMSS,,,Introduction to World Religions and Belief Systems,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Talking/Presenting in front of people,Organizing large-scale events,Helping others learn,Dealing with human behavior,UP,BS in Education
9/28/2024 19:34:31,Male,"18,200 to 109,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",Yes,HUMSS,,,Disciplines and Ideas in the Social Sciences,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Dealing with human behavior,Colegio de Montalban,BS in Education
9/28/2024 19:34:31,Female,"Less than 9,100 to 18,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",Yes,TVL Track,,,,Cookery,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Interacting with people,Performing on stage,Cooking and presenting dishes,"ICCT, RTU,",BS in Hospitality Management
9/28/2024 19:34:31,Female,"Less than 9,100 to 18,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",Yes,TVL Track,,,,Cookery,,"Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)","Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)",Managing a business,Organizing large-scale events,Performing on stage,Cooking and presenting dishes,ICCT ,BS in Hospitality Management
9/29/2024 21:13:55,Female,"Less than 9,100 to 18,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",Yes,STEM,,Calculus,,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)",Physical and Health Activities,Solving math problems,Performing on stage,Reading/Writing content,UP / PUP / PLP,AB in Psychology
9/29/2024 21:13:55,Male,"18,200 to 109,200","ENFP (Enthusiastic, creative, and sociable. They are energetic, imaginative, and enjoy exploring new ideas and possibilities.)",Yes,STEM,,Calculus,,,,"Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Physical and Health Activities, Taking care of others,Helping others learn,Dealing with human behavior,San Beda University ,BS in Nursing
10/23/2024 21:10:57,Male,"Less than 9,100 to 18,200",ENTJ,Yes,TVL Track,,,,ICT/CSS,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Learning things about technology,Interacting with people,Analyzing financial data,Reading/Writing content,This time I don't Sure ,BS in Information Technology
9/15/2024 19:17:08,Female,"Less than 9,100 to 18,200",ENTJ,Yes,HUMSS,,,Philippine Politics and Governance,,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Talking/Presenting in front of people,Interacting with people,Performing on stage,Cooking and presenting dishes,Pamantasan ng Lungsod ng Pasig ,BS in Hospitality Management
10/27/2024 18:48:19,Female,"18,200 to 109,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",No,,,,,,Earth and Life Science,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Managing a business,Organizing large-scale events,Analyzing financial data,Traveling,RTU,BS in Entrepreneurship
10/27/2024 18:48:19,Female,"18,200 to 109,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,ABM,Business Marketing,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Managing a business,Solving math problems,Analyzing financial data,Reading/Writing content,Polytechnic University of the Philippines,BS in Entrepreneurship
10/27/2024 18:48:19,Male,"18,200 to 109,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Drawing and creating digital designs,Interacting with people,Dealing with designs of buildings/infrastructures,Reading/Writing content,DLSU,BS in Computer Engineering
10/27/2024 19:23:10,Male,"18,200 to 109,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,HUMSS,,,Philippine Politics and Governance,,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)",Managing a business,Solving math problems,Helping others learn,Studying political systems,RTU,AB in Political Science
9/13/2024 15:53:17,Female,"Less than 9,100 to 18,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,ABM,Business Ethics and Social Responsibility,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Managing a business, Solving math problems,Helping others learn,Reading/Writing content,Pamantasan ng Lungsod ng Pasig,BS in Accountancy
9/13/2024 7:05:15,Male,"18,200 to 109,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,STEM,,Calculus,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Learning things about technology,Interacting with people,Programming,Reading/Writing content,FEU,BS in Computer Engineering
9/15/2024 19:17:08,Female,"Less than 9,100 to 18,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,TVL Track,,,,Cookery,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Managing a business, Organizing large-scale events,Performing on stage,Traveling,Up,BS in Hospitality Management
9/29/2024 20:57:57,Female,"18,200 to 109,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,HUMSS,,,Disciplines and Ideas in the Applied Social Sciences,,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Physical and Health Activities,Interacting with people,Helping others learn,Dealing with human behavior,Eulogio Amang Rodriguez Institute of Science and Technology,BS in Education
9/29/2024 21:09:02,Female,"Less than 9,100 to 18,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,ABM,Business Math,,,,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)",Managing a business,Interacting with people,Analyzing financial data,Reading/Writing content,Polytechnic University of the Philippines,BS in Business Administration
9/29/2024 21:13:55,Female,"18,200 to 109,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,HUMSS,,,Philippine Politics and Governance,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)",Talking/Presenting in front of people,Interacting with people,Performing on stage,Studying political systems,Polytechnic University of the Philippines ,AB in Political Science
9/29/2024 21:13:55,Female,"Less than 9,100 to 18,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,HUMSS,,,Disciplines and Ideas in the Applied Social Sciences,,,"Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Taking care of others,Helping others learn,Dealing with human behavior,ICCT Colleges,AB in Psychology
9/30/2024 12:34:54,Male,"Less than 9,100 to 18,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,STEM,,Calculus,,,,"Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )","Digital Literacy (e.g., computer skills, online platforms, digital tools and software)",Learning things about technology,Solving math problems,Programming,Reading/Writing content,ATENEO DE MANILA UNIVERSITY ,BS in Computer Engineering
9/30/2024 2:57:14,Male,"18,200 to 109,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,HUMSS,Philippine Politics and Governance,,,,,"Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Physical and Health Activities,Interacting with people,Analyzing financial data, Studying political systems,Philippine College of Criminology,BS in Criminology
9/30/2024 2:57:14,Male,"18,200 to 109,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,HUMSS,Philippine Politics and Governance,,,,,"Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Physical and Health Activities,Interacting with people,Analyzing financial data, Studying political systems,Philippine College of Criminology,BS in Criminology
9/30/2024 2:57:14,Male,"18,200 to 109,200","ENTJ (Confident, strategic, and assertive. They are goal-oriented leaders who excel at organizing and implementing plans.)",Yes,HUMSS,Philippine Politics and Governance,,,,,"Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Physical and Health Activities,Interacting with people,Analyzing financial data, Studying political systems,Philippine College of Criminology,BS in Criminology
10/23/2024 21:10:57,Male,"Less than 9,100 to 18,200",ENTP,Yes,TVL Track,,,,ICT/CSS,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Drawing and creating digital designs,Editing videos,Programming,Traveling,ICCT po,BS in Information Technology
9/29/2024 21:13:55,Male,"Less than 9,100 to 18,200",ESFJ,Yes,TVL Track,,,,Cookery,,"Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Managing a business,Organizing large-scale events,Helping others learn,Traveling,Icct Colleges,BS in Tourism Management
9/29/2024 21:13:55,Female,"Less than 9,100 to 18,200",ESFJ,Yes,HUMSS,,,Disciplines and Ideas in the Applied Social Sciences,,,"Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)","Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)",Managing a business,Organizing large-scale events,Performing on stage,Traveling,Icct Colleges,BS in Tourism Management
9/29/2024 21:13:55,Female,"Less than 9,100 to 18,200",ESFJ,Yes,TVL Track,,,,Cookery,,"Languages and Cultural Understanding (e.g., understanding diverse cultures, global awareness, and multilingual proficiency)","Creative Skills (e.g., arts and design, writing and story telling, multimedia)",Managing a business,Organizing large-scale events,Performing on stage,Traveling,Icct Colleges,BS in Tourism Management
10/23/2024 21:10:57,Female,"18,200 to 109,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,STEM,,General Biology,,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)",Talking/Presenting in front of people,Taking care of others,Performing on stage,Traveling,plp,BS in Nursing
10/23/2024 21:10:57,Female,"18,200 to 109,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,STEM,,General Biology,,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)",Physical and Health Activities,Taking care of others,Performing on stage,Dealing with human behavior,plp,BS in Nursing
10/25/2024 19:21:17,Male,"Less than 9,100 to 18,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,HUMSS,,,"Community Engagement, Solidarity and Citizenship",,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Health and Wellness Skills (e.g., knowledge of healthcare or medical practices, physical fitness and wellness, emotional intelligence)",Physical and Health Activities,Interacting with people,Helping others learn,Traveling,ICCT,BS in Criminology
10/25/2024 19:21:17,Female,"Less than 9,100 to 18,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,STEM,,Research/Capstone Project,,,,"Digital Literacy (e.g., computer skills, online platforms, digital tools and software)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Learning things about technology,Editing videos,Programming,Cooking and presenting dishes,University of the Philippines,BS in Computer Science
10/27/2024 15:15:52,Female,"Less than 9,100 to 18,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,HUMSS,,,"Community Engagement, Solidarity and Citizenship",,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Collaboration and Teamwork (e.g., working in teams, conflict resolution, relationship building)",Talking/Presenting in front of people,Interacting with people,Helping others learn,Dealing with human behavior,rtu,BA in Sociology
10/27/2024 18:48:19,Female,"18,200 to 109,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,HUMSS,,,Philippine Politics and Governance,,,"Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Talking/Presenting in front of people,Organizing large-scale events,Analyzing financial data, Studying political systems,Polytechnic University of the Philippines,BS in Public Administration
9/13/2024 7:05:15,Male,"18,200 to 109,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,HUMSS,,,Philippine Politics and Governance,,,"Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Talking/Presenting in front of people,Organizing large-scale events,Helping others learn, Studying political systems,University of the Philippines Diliman,BS in Public Administration
9/29/2024 21:09:02,Female,"18,200 to 109,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,ABM,Organization and Management,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Leadership and Management Skills (e.g., decision-making, time and project management, organizational skills)",Managing a business,Interacting with people,Analyzing financial data,Reading/Writing content,Rizal Technological University,BS in Business Administration
9/29/2024 21:09:02,Male,"Less than 9,100 to 18,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,ABM,Applied Economics,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Managing a business,Organizing large-scale events,Analyzing financial data,Dealing with human behavior,Rizal Technological University,BS in Business Administration
9/29/2024 21:09:02,Female,"18,200 to 109,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,ABM,Fundamentals of Accounting,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Technical and Analytical Skills (e.g., problem-solving, data analysis, coding and programming )",Managing a business,Interacting with people,Analyzing financial data,Dealing with human behavior,Pamantasan ng Lungsod ng Pasig,BS in Accountancy
9/29/2024 21:09:02,Male,"Less than 9,100 to 18,200","ESFJ (Caring, sociable, and responsible. They seek harmony in their surroundings and are attuned to the needs of others.)",Yes,ABM,Applied Economics,,,,,"Business and Entrepreneurial Skills (e.g., financial management, strategic thinking, marketing)","Communication Skills (e.g., public speaking and presentations, persuasion, interpersonal skills)",Managing a business,Organizing large-scale events,Analyzing financial data,Dealing with human behavior,Rizal Technological University,BS in Business Administration
